Municipios,Estado,Posicao,PIB (1 000 R),Participacao (),Participacao acumulada ()
Vila Velha ,ES,90º,10994893.7596984,0.167011408070889,53.7624653879162
Ipojuca ,PE,91º,10879738.7448545,0.165262214163623,53.9277276020798
Suzano ,SP,92º,10761082.0090575,0.163459829442527,54.0911874315223
Sao Carlos ,SP,93º,10475654.5576861,0.159124213146683,54.250311644669
Americana ,SP,94º,10382872.9031219,0.157714868489919,54.4080265131589
Sao Francisco do Conde ,BA,95º,10211680.1798197,0.155114467031291,54.5631409801902
Tres Lagoas ,MS,96º,10131704.5027778,0.153899643975595,54.7170406241658
Sao Jose ,SC,97º,10131012.5871571,0.153889133842019,54.8709297580078
Angra dos Reis ,RJ,98º,10099365.0411399,0.153408410577399,55.0243381685852
Macapa ,AP,99º,9994877.2028401,0.151821250084343,55.1761594186696
Cabo de Santo Agostinho ,PE,100º,9964400.68972217,0.151358314699958,55.3275177333695
